/work/sheidaei/conda/envs/mytorch/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343997789/work/aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Namespace(dataset='Design', img_size=[160, 160, 160], vit_name='Conv-ViT-Gen-B_16', pretrained_net_path=False, is_encoder_pretrained=True, vit_patches_size=[8, 8, 8], deterministic=1, max_epochs=100, batch_size=32, base_lr=0.01, seed=1234, gpu=4, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1, num_classes=2, root_path='/work/sheidaei/mhashemi/data/mat', list_dir='./lists/lists_Design', exp='TVG_Design[160, 160, 160]', distributed=False)
10 iterations per epoch. 1000 max iterations 
  0%|                                         | 0/100 [00:00<?, ?it/s]iteration 1: loss: 0.700154, loss_kl: 1.172940, loss_recon: 0.693142, loss_pred: 1.663034
iteration 2: loss: 0.881269, loss_kl: 68.887024, loss_recon: 0.691462, loss_pred: 7.876262
iteration 3: loss: 1.284802, loss_kl: 88.831589, loss_recon: 0.691731, loss_pred: 151.023315
iteration 4: loss: 1.445733, loss_kl: 96.701920, loss_recon: 0.688610, loss_pred: 209.500565
iteration 5: loss: 0.903990, loss_kl: 78.735023, loss_recon: 0.685475, loss_pred: 9.638768
iteration 6: loss: 0.799219, loss_kl: 43.011215, loss_recon: 0.688935, loss_pred: 1.590776
iteration 7: loss: 0.756767, loss_kl: 26.126987, loss_recon: 0.687694, loss_pred: 1.808136
iteration 8: loss: 0.785597, loss_kl: 39.213104, loss_recon: 0.684378, loss_pred: 1.722677
iteration 9: loss: 0.795659, loss_kl: 38.832645, loss_recon: 0.695848, loss_pred: 1.534050
iteration 10: loss: 0.803477, loss_kl: 45.616772, loss_recon: 0.687225, loss_pred: 1.398912
  1%|▎                            | 1/100 [06:23<10:32:51, 383.55s/it]iteration 11: loss: 0.970467, loss_kl: 41.797478, loss_recon: 0.690516, loss_pred: 1.726510
iteration 12: loss: 1.030990, loss_kl: 51.780472, loss_recon: 0.686008, loss_pred: 1.854009
iteration 13: loss: 1.008857, loss_kl: 48.326126, loss_recon: 0.689872, loss_pred: 1.266498
iteration 14: loss: 1.030943, loss_kl: 51.476402, loss_recon: 0.689724, loss_pred: 1.572975
iteration 15: loss: 1.032110, loss_kl: 51.909088, loss_recon: 0.689164, loss_pred: 1.408764
iteration 16: loss: 0.995730, loss_kl: 46.672752, loss_recon: 0.687007, loss_pred: 1.324500
iteration 17: loss: 1.027349, loss_kl: 51.223557, loss_recon: 0.688682, loss_pred: 1.428954
iteration 18: loss: 1.022453, loss_kl: 50.689430, loss_recon: 0.687009, loss_pred: 1.462123
iteration 19: loss: 0.992848, loss_kl: 46.260830, loss_recon: 0.685056, loss_pred: 1.591561
iteration 20: loss: 1.030434, loss_kl: 51.586323, loss_recon: 0.688423, loss_pred: 1.586104
  2%|▌                            | 2/100 [12:26<10:06:30, 371.33s/it]iteration 21: loss: 1.489527, loss_kl: 46.879242, loss_recon: 0.682291, loss_pred: 1.672315
iteration 22: loss: 1.479065, loss_kl: 46.131088, loss_recon: 0.686653, loss_pred: 1.528929
iteration 23: loss: 1.659573, loss_kl: 57.372021, loss_recon: 0.683479, loss_pred: 1.335636
iteration 24: loss: 1.558284, loss_kl: 50.743889, loss_recon: 0.686093, loss_pred: 1.714505
iteration 25: loss: 1.676664, loss_kl: 57.538292, loss_recon: 0.691290, loss_pred: 1.727490
iteration 26: loss: 1.603113, loss_kl: 53.229080, loss_recon: 0.696412, loss_pred: 1.304865
iteration 27: loss: 1.545402, loss_kl: 49.670067, loss_recon: 0.691894, loss_pred: 1.664611
iteration 28: loss: 1.543060, loss_kl: 50.029846, loss_recon: 0.688314, loss_pred: 1.379228
iteration 29: loss: 1.502075, loss_kl: 47.198940, loss_recon: 0.691756, loss_pred: 1.538097
iteration 30: loss: 1.430459, loss_kl: 44.080082, loss_recon: 0.682417, loss_pred: 0.911248
  3%|▉                             | 3/100 [18:29<9:54:25, 367.69s/it]iteration 31: loss: 2.581985, loss_kl: 43.511318, loss_recon: 0.691698, loss_pred: 1.187118
iteration 32: loss: 2.967671, loss_kl: 52.881569, loss_recon: 0.689709, loss_pred: 0.983969
iteration 33: loss: 3.021263, loss_kl: 53.608654, loss_recon: 0.688086, loss_pred: 1.562527
iteration 34: loss: 2.945664, loss_kl: 52.191120, loss_recon: 0.687782, loss_pred: 1.199623
iteration 35: loss: 2.837064, loss_kl: 49.539696, loss_recon: 0.686372, loss_pred: 1.316392
iteration 36: loss: 2.704449, loss_kl: 46.569614, loss_recon: 0.686383, loss_pred: 1.150343
iteration 37: loss: 2.570225, loss_kl: 43.460377, loss_recon: 0.684549, loss_pred: 1.129036
iteration 38: loss: 2.542459, loss_kl: 42.940880, loss_recon: 0.688986, loss_pred: 0.887056
iteration 39: loss: 2.345879, loss_kl: 38.252460, loss_recon: 0.688944, loss_pred: 0.928059
iteration 40: loss: 2.241961, loss_kl: 35.827789, loss_recon: 0.687113, loss_pred: 0.938741
  4%|█▏                            | 4/100 [24:32<9:45:02, 365.65s/it]iteration 41: loss: 4.668829, loss_kl: 37.950600, loss_recon: 0.684220, loss_pred: 0.585103
iteration 42: loss: 4.679898, loss_kl: 38.174461, loss_recon: 0.681188, loss_pred: 0.497613
iteration 43: loss: 5.766423, loss_kl: 48.124649, loss_recon: 0.675148, loss_pred: 1.113771
iteration 44: loss: 5.677633, loss_kl: 47.716602, loss_recon: 0.679264, loss_pred: 0.623313
iteration 45: loss: 4.938262, loss_kl: 40.451775, loss_recon: 0.668794, loss_pred: 0.838839
iteration 46: loss: 4.829043, loss_kl: 39.537960, loss_recon: 0.660025, loss_pred: 0.781188
iteration 47: loss: 4.352521, loss_kl: 35.183556, loss_recon: 0.659866, loss_pred: 0.528618
iteration 48: loss: 4.485620, loss_kl: 36.570072, loss_recon: 0.648485, loss_pred: 0.539387
iteration 49: loss: 3.964054, loss_kl: 31.620592, loss_recon: 0.652876, loss_pred: 0.402265
iteration 50: loss: 4.278507, loss_kl: 34.360771, loss_recon: 0.637064, loss_pred: 0.856117
  5%|█▌                            | 5/100 [30:35<9:37:24, 364.68s/it]iteration 51: loss: 7.967977, loss_kl: 31.187439, loss_recon: 0.646570, loss_pred: 0.441898
iteration 52: loss: 8.262613, loss_kl: 32.309364, loss_recon: 0.670045, loss_pred: 0.491419
iteration 53: loss: 7.277475, loss_kl: 28.136208, loss_recon: 0.650388, loss_pred: 0.493581
iteration 54: loss: 7.186438, loss_kl: 27.826736, loss_recon: 0.658385, loss_pred: 0.375216
iteration 55: loss: 6.218349, loss_kl: 23.818615, loss_recon: 0.643568, loss_pred: 0.265089
iteration 56: loss: 5.587481, loss_kl: 21.140221, loss_recon: 0.632915, loss_pred: 0.264086
iteration 57: loss: 5.229737, loss_kl: 19.536982, loss_recon: 0.649317, loss_pred: 0.250968
iteration 58: loss: 4.935272, loss_kl: 18.382463, loss_recon: 0.646584, loss_pred: 0.145168
iteration 59: loss: 4.575699, loss_kl: 16.812702, loss_recon: 0.639086, loss_pred: 0.193926
iteration 60: loss: 4.236614, loss_kl: 15.262400, loss_recon: 0.653240, loss_pred: 0.218196
  6%|█▊                            | 6/100 [36:39<9:30:57, 364.44s/it]iteration 61: loss: 6.822057, loss_kl: 13.287016, loss_recon: 0.646662, loss_pred: 0.738846
iteration 62: loss: 10.269169, loss_kl: 20.368887, loss_recon: 0.661212, loss_pred: 1.453178
iteration 63: loss: 5.529114, loss_kl: 10.804347, loss_recon: 0.637958, loss_pred: 0.304687
iteration 64: loss: 6.828028, loss_kl: 13.608837, loss_recon: 0.635935, loss_pred: 0.454949
iteration 65: loss: 7.209816, loss_kl: 14.697247, loss_recon: 0.633367, loss_pred: 0.239509
iteration 66: loss: 5.773404, loss_kl: 10.904027, loss_recon: 0.635794, loss_pred: 0.764764
iteration 67: loss: 3.065814, loss_kl: 5.131580, loss_recon: 0.633231, loss_pred: 0.393424
iteration 68: loss: 3.680707, loss_kl: 6.323784, loss_recon: 0.634728, loss_pred: 0.594394
iteration 69: loss: 2.619169, loss_kl: 3.858427, loss_recon: 0.636736, loss_pred: 0.644173
iteration 70: loss: 2.279258, loss_kl: 3.429516, loss_recon: 0.646199, loss_pred: 0.279570
  7%|██                            | 7/100 [42:42<9:24:32, 364.22s/it]iteration 71: loss: 4.855838, loss_kl: 5.881295, loss_recon: 0.647724, loss_pred: 0.375127
iteration 72: loss: 5.853520, loss_kl: 7.243714, loss_recon: 0.640902, loss_pred: 0.506158
iteration 73: loss: 5.282566, loss_kl: 6.425250, loss_recon: 0.653838, loss_pred: 0.456521
iteration 74: loss: 3.542996, loss_kl: 3.817765, loss_recon: 0.643694, loss_pred: 0.492778
iteration 75: loss: 3.525687, loss_kl: 3.852686, loss_recon: 0.638651, loss_pred: 0.439621
iteration 76: loss: 3.670810, loss_kl: 3.575971, loss_recon: 0.626963, loss_pred: 0.949475
iteration 77: loss: 3.376958, loss_kl: 3.879562, loss_recon: 0.643496, loss_pred: 0.184419
iteration 78: loss: 2.963301, loss_kl: 3.043618, loss_recon: 0.625183, loss_pred: 0.432585
iteration 79: loss: 3.820501, loss_kl: 4.494734, loss_recon: 0.623018, loss_pred: 0.259132
iteration 80: loss: 2.730846, loss_kl: 2.906417, loss_recon: 0.646658, loss_pred: 0.192255
  8%|██▍                           | 8/100 [48:46<9:18:18, 364.12s/it]iteration 81: loss: 4.269321, loss_kl: 3.935932, loss_recon: 0.620964, loss_pred: 0.392384
iteration 82: loss: 5.214137, loss_kl: 4.251336, loss_recon: 0.627655, loss_pred: 1.189947
iteration 83: loss: 3.224617, loss_kl: 2.750679, loss_recon: 0.632276, loss_pred: 0.324808
iteration 84: loss: 3.734623, loss_kl: 3.321956, loss_recon: 0.645769, loss_pred: 0.342580
iteration 85: loss: 4.201773, loss_kl: 3.852775, loss_recon: 0.623131, loss_pred: 0.392833
iteration 86: loss: 3.918241, loss_kl: 3.692759, loss_recon: 0.628188, loss_pred: 0.210474
iteration 87: loss: 4.142383, loss_kl: 3.628530, loss_recon: 0.632797, loss_pred: 0.535152
iteration 88: loss: 2.626689, loss_kl: 2.194081, loss_recon: 0.625003, loss_pred: 0.180668
iteration 89: loss: 2.828774, loss_kl: 2.227579, loss_recon: 0.628715, loss_pred: 0.382514
iteration 90: loss: 4.481754, loss_kl: 4.210419, loss_recon: 0.624298, loss_pred: 0.365966
  9%|██▋                           | 9/100 [54:49<9:11:44, 363.79s/it]iteration 91: loss: 4.592333, loss_kl: 3.947240, loss_recon: 0.623744, loss_pred: 0.304552
iteration 92: loss: 3.531617, loss_kl: 2.709557, loss_recon: 0.632895, loss_pred: 0.396021
iteration 93: loss: 3.646447, loss_kl: 3.021559, loss_recon: 0.630683, loss_pred: 0.209414
iteration 94: loss: 3.277210, loss_kl: 2.694691, loss_recon: 0.622045, loss_pred: 0.149950
iteration 95: loss: 2.971266, loss_kl: 2.408198, loss_recon: 0.625147, loss_pred: 0.105343
iteration 96: loss: 3.367287, loss_kl: 2.789472, loss_recon: 0.626170, loss_pred: 0.147255
iteration 97: loss: 3.666973, loss_kl: 3.157197, loss_recon: 0.629773, loss_pred: 0.096741
iteration 98: loss: 2.992217, loss_kl: 2.389522, loss_recon: 0.636184, loss_pred: 0.134642
iteration 99: loss: 3.245631, loss_kl: 2.509073, loss_recon: 0.622222, loss_pred: 0.301546
iteration 100: loss: 2.354224, loss_kl: 1.577797, loss_recon: 0.621527, loss_pred: 0.278548
 10%|██▋                        | 10/100 [1:00:52<9:05:15, 363.51s/it]iteration 101: loss: 3.261898, loss_kl: 2.306376, loss_recon: 0.623924, loss_pred: 0.403677
iteration 102: loss: 2.503403, loss_kl: 1.731312, loss_recon: 0.622795, loss_pred: 0.200682
