/work/sheidaei/conda/envs/mytorch/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343997789/work/aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Namespace(dataset='Design', img_size=[64, 64, 64], vit_patches_size=[4, 4, 4], vit_name='Conv-ViT-Gen2-B_16', pretrained_net_path=False, is_encoder_pretrained=True, deterministic=1, max_epochs=200, batch_size=32, base_lr=0.003, seed=1234, gpu=4, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1, num_classes=2, root_path='/work/sheidaei/mhashemi/data/mat', list_dir='./lists/lists_Design', exp='TVG_Design[64, 64, 64]', distributed=False)
10 iterations per epoch. 2000 max iterations 
  0%|                                         | 0/200 [00:00<?, ?it/s]iteration 1: loss: 70.891281, loss_kl: 17.353088, loss_recon: 0.693148, loss_pred: 1.402912
iteration 2: loss: 72.747917, loss_kl: 33.333138, loss_recon: 0.703651, loss_pred: 2.049483
iteration 3: loss: 99.004257, loss_kl: 954.214111, loss_recon: 0.684983, loss_pred: 20.963856
iteration 4: loss: 74.442596, loss_kl: 251.073700, loss_recon: 0.688294, loss_pred: 3.102465
iteration 5: loss: 74.812874, loss_kl: 146.812042, loss_recon: 0.683565, loss_pred: 4.988303
iteration 6: loss: 74.965294, loss_kl: 137.902359, loss_recon: 0.683316, loss_pred: 5.254685
iteration 7: loss: 69.443642, loss_kl: 133.804489, loss_recon: 0.657560, loss_pred: 2.349583
iteration 8: loss: 71.895844, loss_kl: 143.139679, loss_recon: 0.681586, loss_pred: 2.305876
iteration 9: loss: 69.539093, loss_kl: 233.953049, loss_recon: 0.647634, loss_pred: 2.436148
iteration 10: loss: 68.489113, loss_kl: 288.630310, loss_recon: 0.641989, loss_pred: 1.403892
  0%|▏                              | 1/200 [00:55<3:02:39, 55.08s/it]iteration 11: loss: 68.453278, loss_kl: 286.414246, loss_recon: 0.648085, loss_pred: 0.780640
iteration 12: loss: 66.252274, loss_kl: 241.371185, loss_recon: 0.629767, loss_pred: 0.861810
iteration 13: loss: 65.505402, loss_kl: 199.991348, loss_recon: 0.625287, loss_pred: 0.976791
iteration 14: loss: 67.810493, loss_kl: 161.617950, loss_recon: 0.653022, loss_pred: 0.892129
iteration 15: loss: 68.521988, loss_kl: 263.383606, loss_recon: 0.644721, loss_pred: 1.416014
iteration 16: loss: 69.108589, loss_kl: 403.140137, loss_recon: 0.636571, loss_pred: 1.420132
iteration 17: loss: 70.425591, loss_kl: 476.698639, loss_recon: 0.646767, loss_pred: 0.981929
iteration 18: loss: 68.693359, loss_kl: 481.030701, loss_recon: 0.631462, loss_pred: 0.736843
iteration 19: loss: 68.742050, loss_kl: 402.595093, loss_recon: 0.638122, loss_pred: 0.903871
iteration 20: loss: 67.145676, loss_kl: 307.891602, loss_recon: 0.626908, loss_pred: 1.375951
  1%|▎                              | 2/200 [01:44<2:51:06, 51.85s/it]iteration 21: loss: 67.051666, loss_kl: 245.757553, loss_recon: 0.633401, loss_pred: 1.253964
iteration 22: loss: 66.034409, loss_kl: 180.619629, loss_recon: 0.631740, loss_pred: 1.054178
iteration 23: loss: 66.002495, loss_kl: 144.867905, loss_recon: 0.638095, loss_pred: 0.744341
iteration 24: loss: 65.174026, loss_kl: 135.444992, loss_recon: 0.628347, loss_pred: 0.984878
iteration 25: loss: 64.989410, loss_kl: 149.523880, loss_recon: 0.621324, loss_pred: 1.361735
iteration 26: loss: 64.146324, loss_kl: 144.792511, loss_recon: 0.615417, loss_pred: 1.156709
iteration 27: loss: 64.172424, loss_kl: 125.024147, loss_recon: 0.621580, loss_pred: 0.764212
iteration 28: loss: 64.786469, loss_kl: 107.669876, loss_recon: 0.631524, loss_pred: 0.557377
iteration 29: loss: 64.748100, loss_kl: 88.918663, loss_recon: 0.631855, loss_pred: 0.673371
iteration 30: loss: 64.580856, loss_kl: 77.479668, loss_recon: 0.631999, loss_pred: 0.606139
  2%|▍                              | 3/200 [02:35<2:48:01, 51.18s/it]iteration 31: loss: 63.435463, loss_kl: 74.746323, loss_recon: 0.621456, loss_pred: 0.542404
iteration 32: loss: 62.820614, loss_kl: 82.399536, loss_recon: 0.614399, loss_pred: 0.556737
iteration 33: loss: 63.917992, loss_kl: 84.107628, loss_recon: 0.626746, loss_pred: 0.402363
iteration 34: loss: 64.868469, loss_kl: 94.117371, loss_recon: 0.635960, loss_pred: 0.331329
iteration 35: loss: 64.714119, loss_kl: 86.458435, loss_recon: 0.635492, loss_pred: 0.300341
iteration 36: loss: 62.419773, loss_kl: 84.451828, loss_recon: 0.612146, loss_pred: 0.360702
iteration 37: loss: 64.385857, loss_kl: 81.655731, loss_recon: 0.630978, loss_pred: 0.471479
iteration 38: loss: 62.855526, loss_kl: 79.851730, loss_recon: 0.617193, loss_pred: 0.337715
iteration 39: loss: 63.365219, loss_kl: 76.671890, loss_recon: 0.623146, loss_pred: 0.283874
iteration 40: loss: 62.246235, loss_kl: 71.987335, loss_recon: 0.613059, loss_pred: 0.220424
  2%|▌                              | 4/200 [03:24<2:45:01, 50.52s/it]iteration 41: loss: 62.049721, loss_kl: 62.820377, loss_recon: 0.611924, loss_pred: 0.229152
iteration 42: loss: 62.887981, loss_kl: 56.046013, loss_recon: 0.620441, loss_pred: 0.283467
iteration 43: loss: 62.393867, loss_kl: 54.177258, loss_recon: 0.616003, loss_pred: 0.251783
iteration 44: loss: 63.344940, loss_kl: 49.648720, loss_recon: 0.626011, loss_pred: 0.247334
iteration 45: loss: 62.334370, loss_kl: 54.979240, loss_recon: 0.615462, loss_pred: 0.238356
iteration 46: loss: 63.904392, loss_kl: 54.079788, loss_recon: 0.631916, loss_pred: 0.171979
iteration 47: loss: 62.424450, loss_kl: 56.394142, loss_recon: 0.615865, loss_pred: 0.273983
iteration 48: loss: 61.919853, loss_kl: 53.353737, loss_recon: 0.611890, loss_pred: 0.197281
iteration 49: loss: 62.594143, loss_kl: 53.049408, loss_recon: 0.618925, loss_pred: 0.171138
iteration 50: loss: 63.205105, loss_kl: 50.710110, loss_recon: 0.624904, loss_pred: 0.207584
  2%|▊                              | 5/200 [04:14<2:43:03, 50.17s/it]iteration 51: loss: 62.593143, loss_kl: 55.057144, loss_recon: 0.618810, loss_pred: 0.161594
iteration 52: loss: 63.342754, loss_kl: 53.920547, loss_recon: 0.626163, loss_pred: 0.187202
iteration 53: loss: 62.721317, loss_kl: 55.194016, loss_recon: 0.620004, loss_pred: 0.168954
iteration 54: loss: 61.336994, loss_kl: 51.040176, loss_recon: 0.604503, loss_pred: 0.376299
iteration 55: loss: 63.553814, loss_kl: 44.587181, loss_recon: 0.629176, loss_pred: 0.190340
iteration 56: loss: 63.162380, loss_kl: 43.134766, loss_recon: 0.625198, loss_pred: 0.211197
iteration 57: loss: 61.841938, loss_kl: 46.599960, loss_recon: 0.612410, loss_pred: 0.134960
iteration 58: loss: 62.299664, loss_kl: 47.153954, loss_recon: 0.616832, loss_pred: 0.144948
iteration 59: loss: 61.670059, loss_kl: 46.896877, loss_recon: 0.610786, loss_pred: 0.122512
iteration 60: loss: 61.074947, loss_kl: 40.019505, loss_recon: 0.604288, loss_pred: 0.245954
  3%|▉                              | 6/200 [05:03<2:41:50, 50.06s/it]iteration 61: loss: 61.146118, loss_kl: 33.972511, loss_recon: 0.606639, loss_pred: 0.142531
iteration 62: loss: 61.700863, loss_kl: 30.588085, loss_recon: 0.612665, loss_pred: 0.128451
iteration 63: loss: 64.063057, loss_kl: 31.695044, loss_recon: 0.635896, loss_pred: 0.156522
iteration 64: loss: 62.667538, loss_kl: 35.159008, loss_recon: 0.621622, loss_pred: 0.153770
iteration 65: loss: 62.448322, loss_kl: 37.437855, loss_recon: 0.619383, loss_pred: 0.135668
iteration 66: loss: 62.359539, loss_kl: 35.632523, loss_recon: 0.618479, loss_pred: 0.155294
iteration 67: loss: 62.236057, loss_kl: 34.232555, loss_recon: 0.617775, loss_pred: 0.116212
iteration 68: loss: 62.183220, loss_kl: 29.785126, loss_recon: 0.617196, loss_pred: 0.165784
iteration 69: loss: 61.562737, loss_kl: 29.499832, loss_recon: 0.611541, loss_pred: 0.113616
iteration 70: loss: 62.062035, loss_kl: 29.447729, loss_recon: 0.616829, loss_pred: 0.084690
  4%|█                              | 7/200 [05:52<2:39:55, 49.72s/it]iteration 71: loss: 61.522106, loss_kl: 26.382874, loss_recon: 0.611486, loss_pred: 0.109644
iteration 72: loss: 61.725723, loss_kl: 27.030142, loss_recon: 0.612233, loss_pred: 0.232128
iteration 73: loss: 62.914387, loss_kl: 24.759394, loss_recon: 0.624797, loss_pred: 0.187129
iteration 74: loss: 62.255230, loss_kl: 25.424088, loss_recon: 0.618364, loss_pred: 0.164576
iteration 75: loss: 61.947842, loss_kl: 27.277344, loss_recon: 0.615629, loss_pred: 0.112189
iteration 76: loss: 62.185246, loss_kl: 26.653526, loss_recon: 0.618120, loss_pred: 0.106709
iteration 77: loss: 60.930328, loss_kl: 27.700922, loss_recon: 0.604786, loss_pred: 0.174737
iteration 78: loss: 61.767582, loss_kl: 27.198154, loss_recon: 0.613594, loss_pred: 0.136165
iteration 79: loss: 62.834049, loss_kl: 27.454563, loss_recon: 0.624095, loss_pred: 0.149998
iteration 80: loss: 61.984150, loss_kl: 26.467693, loss_recon: 0.616104, loss_pred: 0.109121
  4%|█▏                             | 8/200 [06:42<2:38:51, 49.64s/it]iteration 81: loss: 62.598785, loss_kl: 26.330036, loss_recon: 0.622421, loss_pred: 0.093339
iteration 82: loss: 61.428661, loss_kl: 26.677578, loss_recon: 0.610054, loss_pred: 0.156441
iteration 83: loss: 63.385395, loss_kl: 22.804180, loss_recon: 0.629765, loss_pred: 0.180835
iteration 84: loss: 61.505817, loss_kl: 23.087414, loss_recon: 0.611027, loss_pred: 0.172238
iteration 85: loss: 61.215576, loss_kl: 24.632393, loss_recon: 0.608540, loss_pred: 0.115284
iteration 86: loss: 62.951820, loss_kl: 24.531420, loss_recon: 0.624372, loss_pred: 0.269268
iteration 87: loss: 60.338634, loss_kl: 23.900158, loss_recon: 0.600139, loss_pred: 0.085716
iteration 88: loss: 61.881775, loss_kl: 22.019421, loss_recon: 0.615282, loss_pred: 0.133419
iteration 89: loss: 61.083397, loss_kl: 22.589916, loss_recon: 0.607272, loss_pred: 0.130344
iteration 90: loss: 61.097752, loss_kl: 19.455185, loss_recon: 0.606592, loss_pred: 0.243988
  4%|█▍                             | 9/200 [07:31<2:37:42, 49.54s/it]iteration 91: loss: 61.423264, loss_kl: 22.248943, loss_recon: 0.610717, loss_pred: 0.129042
iteration 92: loss: 61.593048, loss_kl: 21.312075, loss_recon: 0.612931, loss_pred: 0.086809
iteration 93: loss: 61.767838, loss_kl: 24.595428, loss_recon: 0.613497, loss_pred: 0.172217
iteration 94: loss: 62.549965, loss_kl: 27.080303, loss_recon: 0.621308, loss_pred: 0.148383
iteration 95: loss: 61.919205, loss_kl: 26.146456, loss_recon: 0.615397, loss_pred: 0.118020
iteration 96: loss: 61.835770, loss_kl: 23.940683, loss_recon: 0.614046, loss_pred: 0.191783
iteration 97: loss: 61.080803, loss_kl: 21.480030, loss_recon: 0.606827, loss_pred: 0.183288
iteration 98: loss: 62.074150, loss_kl: 21.038090, loss_recon: 0.617606, loss_pred: 0.103206
iteration 99: loss: 59.820633, loss_kl: 20.265984, loss_recon: 0.594161, loss_pred: 0.201862
