/work/sheidaei/conda/envs/mytorch/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343997789/work/aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Namespace(dataset='Design', img_size=[64, 64, 64], vit_patches_size=[4, 4, 4], vit_name='Conv-ViT-Gen2-B_16', pretrained_net_path=False, is_encoder_pretrained=False, deterministic=1, max_epochs=200, batch_size=32, base_lr=0.003, seed=1234, gpu=4, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1, num_classes=2, root_path='/work/sheidaei/mhashemi/data/mat', list_dir='./lists/lists_Design', exp='TVG_Design[64, 64, 64]', distributed=False)
10 iterations per epoch. 2000 max iterations 
  0%|                                         | 0/200 [00:00<?, ?it/s]iteration 1: loss: 92.678047, loss_recon: 0.693148, loss_pred: 23.363283
iteration 2: loss: 89.627754, loss_recon: 0.706978, loss_pred: 18.929916
iteration 3: loss: 659.430603, loss_recon: 0.696402, loss_pred: 589.790405
iteration 4: loss: 494.372070, loss_recon: 0.689312, loss_pred: 425.440857
iteration 5: loss: 318.026459, loss_recon: 0.693434, loss_pred: 248.683075
iteration 6: loss: 236.757523, loss_recon: 0.693561, loss_pred: 167.401459
iteration 7: loss: 225.614517, loss_recon: 0.691269, loss_pred: 156.487640
iteration 8: loss: 213.887589, loss_recon: 0.690450, loss_pred: 144.842621
iteration 9: loss: 162.130753, loss_recon: 0.688369, loss_pred: 93.293816
iteration 10: loss: 120.227966, loss_recon: 0.691563, loss_pred: 51.071644
  0%|▏                              | 1/200 [01:04<3:33:43, 64.44s/it]iteration 11: loss: 135.178726, loss_recon: 0.693797, loss_pred: 65.799072
iteration 12: loss: 162.328934, loss_recon: 0.683474, loss_pred: 93.981575
iteration 13: loss: 143.349365, loss_recon: 0.683490, loss_pred: 75.000336
iteration 14: loss: 111.660698, loss_recon: 0.691660, loss_pred: 42.494728
iteration 15: loss: 98.677353, loss_recon: 0.695707, loss_pred: 29.106646
iteration 16: loss: 104.210678, loss_recon: 0.688443, loss_pred: 35.366383
iteration 17: loss: 109.661240, loss_recon: 0.685458, loss_pred: 41.115414
iteration 18: loss: 104.425804, loss_recon: 0.686639, loss_pred: 35.761864
iteration 19: loss: 101.816040, loss_recon: 0.688029, loss_pred: 33.013168
iteration 20: loss: 96.815392, loss_recon: 0.686654, loss_pred: 28.149950
  1%|▎                              | 2/200 [01:54<3:03:49, 55.71s/it]iteration 21: loss: 86.898712, loss_recon: 0.682169, loss_pred: 18.681782
iteration 22: loss: 82.697021, loss_recon: 0.693176, loss_pred: 13.379375
iteration 23: loss: 84.325111, loss_recon: 0.688455, loss_pred: 15.479639
iteration 24: loss: 88.551338, loss_recon: 0.685533, loss_pred: 19.998026
