/work/sheidaei/conda/envs/mytorch/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343997789/work/aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Namespace(dataset='Design', img_size=[64, 64, 64], vit_patches_size=[4, 4, 4], vit_name='Conv-ViT-Gen2-B_16', pretrained_net_path=False, is_encoder_pretrained=False, deterministic=1, max_epochs=200, batch_size=32, base_lr=0.001, seed=1234, gpu=4, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1, num_classes=2, root_path='/work/sheidaei/mhashemi/data/mat', list_dir='./lists/lists_Design', exp='TVG_Design[64, 64, 64]', distributed=False)
10 iterations per epoch. 2000 max iterations 
  0%|                                         | 0/200 [00:00<?, ?it/s]iteration 1: loss: 88.283737, loss_kl: 19.004042, loss_recon: 0.693148, loss_pred: 18.778866
iteration 2: loss: 88.627975, loss_kl: 43.887756, loss_recon: 0.692319, loss_pred: 18.957203
iteration 3: loss: 85.382446, loss_kl: 18.164606, loss_recon: 0.688735, loss_pred: 16.327320
iteration 4: loss: 87.317451, loss_kl: 26.947212, loss_recon: 0.689069, loss_pred: 18.141039
iteration 5: loss: 86.391388, loss_kl: 21.673954, loss_recon: 0.684397, loss_pred: 17.734947
iteration 6: loss: 84.453560, loss_kl: 17.282078, loss_recon: 0.690922, loss_pred: 15.188520
iteration 7: loss: 88.484009, loss_kl: 19.353943, loss_recon: 0.684594, loss_pred: 19.831032
iteration 8: loss: 89.310074, loss_kl: 24.544971, loss_recon: 0.683280, loss_pred: 20.736595
iteration 9: loss: 82.150208, loss_kl: 27.647827, loss_recon: 0.691854, loss_pred: 12.688309
iteration 10: loss: 86.483139, loss_kl: 47.709698, loss_recon: 0.688168, loss_pred: 17.189196
  0%|▏                              | 1/200 [00:54<3:00:10, 54.32s/it]iteration 11: loss: 81.945793, loss_kl: 52.712925, loss_recon: 0.688871, loss_pred: 12.531608
iteration 12: loss: 82.431335, loss_kl: 58.286148, loss_recon: 0.690200, loss_pred: 12.828442
iteration 13: loss: 83.787971, loss_kl: 68.419891, loss_recon: 0.688653, loss_pred: 14.238443
iteration 14: loss: 81.548866, loss_kl: 67.206512, loss_recon: 0.690664, loss_pred: 11.810440
iteration 15: loss: 82.641487, loss_kl: 65.406876, loss_recon: 0.685812, loss_pred: 13.406211
iteration 16: loss: 83.833069, loss_kl: 58.512505, loss_recon: 0.683436, loss_pred: 14.904358
iteration 17: loss: 79.124725, loss_kl: 58.088039, loss_recon: 0.687139, loss_pred: 9.829924
iteration 18: loss: 81.065353, loss_kl: 50.255016, loss_recon: 0.681692, loss_pred: 12.393602
iteration 19: loss: 75.638977, loss_kl: 55.120880, loss_recon: 0.673753, loss_pred: 7.712432
iteration 20: loss: 75.333282, loss_kl: 53.295780, loss_recon: 0.668345, loss_pred: 7.965793
  1%|▎                              | 2/200 [01:43<2:48:52, 51.17s/it]iteration 21: loss: 73.320755, loss_kl: 56.957474, loss_recon: 0.652902, loss_pred: 7.461027
iteration 22: loss: 71.671623, loss_kl: 67.083611, loss_recon: 0.651714, loss_pred: 5.829424
iteration 23: loss: 71.025589, loss_kl: 83.437805, loss_recon: 0.642787, loss_pred: 5.912525
iteration 24: loss: 69.027763, loss_kl: 86.643990, loss_recon: 0.639115, loss_pred: 4.249852
iteration 25: loss: 68.544495, loss_kl: 96.149963, loss_recon: 0.624211, loss_pred: 5.161888
iteration 26: loss: 69.631500, loss_kl: 98.273361, loss_recon: 0.647433, loss_pred: 3.905466
iteration 27: loss: 67.968773, loss_kl: 85.896362, loss_recon: 0.639072, loss_pred: 3.202577
iteration 28: loss: 68.105698, loss_kl: 66.394341, loss_recon: 0.655277, loss_pred: 1.914079
iteration 29: loss: 68.262527, loss_kl: 49.375969, loss_recon: 0.634100, loss_pred: 4.358730
iteration 30: loss: 68.586540, loss_kl: 41.737663, loss_recon: 0.639814, loss_pred: 4.187720
  2%|▍                              | 3/200 [02:32<2:44:53, 50.22s/it]iteration 31: loss: 66.432053, loss_kl: 51.996262, loss_recon: 0.638660, loss_pred: 2.046108
iteration 32: loss: 65.722084, loss_kl: 60.539013, loss_recon: 0.631471, loss_pred: 1.969568
iteration 33: loss: 67.538551, loss_kl: 70.349167, loss_recon: 0.641117, loss_pred: 2.723314
iteration 34: loss: 68.131142, loss_kl: 59.280838, loss_recon: 0.652264, loss_pred: 2.311936
iteration 35: loss: 65.123077, loss_kl: 55.143845, loss_recon: 0.632302, loss_pred: 1.341401
iteration 36: loss: 66.245193, loss_kl: 52.629963, loss_recon: 0.627822, loss_pred: 2.936680
iteration 37: loss: 65.754959, loss_kl: 47.986526, loss_recon: 0.632367, loss_pred: 2.038439
iteration 38: loss: 64.467079, loss_kl: 51.268860, loss_recon: 0.625358, loss_pred: 1.418577
iteration 39: loss: 66.810936, loss_kl: 49.343681, loss_recon: 0.639606, loss_pred: 2.356867
iteration 40: loss: 66.513039, loss_kl: 47.631935, loss_recon: 0.636252, loss_pred: 2.411566
  2%|▌                              | 4/200 [03:21<2:42:48, 49.84s/it]iteration 41: loss: 63.990540, loss_kl: 44.478043, loss_recon: 0.621199, loss_pred: 1.425874
iteration 42: loss: 63.928520, loss_kl: 45.048569, loss_recon: 0.623415, loss_pred: 1.136548
iteration 43: loss: 63.744591, loss_kl: 42.737465, loss_recon: 0.612984, loss_pred: 2.018770
iteration 44: loss: 65.801971, loss_kl: 45.387398, loss_recon: 0.643188, loss_pred: 1.029346
iteration 45: loss: 65.457466, loss_kl: 42.670490, loss_recon: 0.641549, loss_pred: 0.875829
iteration 46: loss: 64.133011, loss_kl: 41.950172, loss_recon: 0.619221, loss_pred: 1.791425
iteration 47: loss: 63.332355, loss_kl: 41.638939, loss_recon: 0.619953, loss_pred: 0.920685
iteration 48: loss: 63.409908, loss_kl: 42.409321, loss_recon: 0.613078, loss_pred: 1.678016
iteration 49: loss: 62.992016, loss_kl: 45.718285, loss_recon: 0.612163, loss_pred: 1.318580
iteration 50: loss: 66.238976, loss_kl: 47.401516, loss_recon: 0.628127, loss_pred: 2.952269
  2%|▊                              | 5/200 [04:10<2:40:47, 49.47s/it]iteration 51: loss: 62.263161, loss_kl: 47.502769, loss_recon: 0.604288, loss_pred: 1.359341
