/work/sheidaei/conda/envs/mytorch/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343997789/work/aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Namespace(dataset='Design', img_size=[64, 64, 64], vit_patches_size=[4, 4, 4], vit_name='Conv-ViT-Gen2-B_16', pretrained_net_path=False, is_encoder_pretrained=False, deterministic=1, max_epochs=200, batch_size=32, base_lr=0.001, seed=1234, gpu=4, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1, num_classes=2, root_path='/work/sheidaei/mhashemi/data/mat', list_dir='./lists/lists_Design', exp='TVG_Design[64, 64, 64]', distributed=False)
10 iterations per epoch. 2000 max iterations 
  0%|                                         | 0/200 [00:00<?, ?it/s]iteration 1: loss: 73.342346, loss_kl: 19.409136, loss_recon: 0.693146, loss_pred: 3.833698
iteration 2: loss: 72.324059, loss_kl: 102.218948, loss_recon: 0.691890, loss_pred: 2.112856
iteration 3: loss: 72.650925, loss_kl: 82.944855, loss_recon: 0.687486, loss_pred: 3.072834
iteration 4: loss: 72.576340, loss_kl: 69.832726, loss_recon: 0.687262, loss_pred: 3.151816
iteration 5: loss: 71.885727, loss_kl: 67.427330, loss_recon: 0.683496, loss_pred: 2.861882
iteration 6: loss: 72.364098, loss_kl: 75.180847, loss_recon: 0.690523, loss_pred: 2.559963
iteration 7: loss: 71.111504, loss_kl: 68.541557, loss_recon: 0.686763, loss_pred: 1.749804
iteration 8: loss: 71.817612, loss_kl: 50.452690, loss_recon: 0.693178, loss_pred: 1.995308
iteration 9: loss: 70.686485, loss_kl: 41.735931, loss_recon: 0.681826, loss_pred: 2.086561
iteration 10: loss: 69.670525, loss_kl: 59.652466, loss_recon: 0.668796, loss_pred: 2.194391
  0%|▏                              | 1/200 [01:05<3:36:43, 65.34s/it]iteration 11: loss: 67.446571, loss_kl: 75.286560, loss_recon: 0.653115, loss_pred: 1.382214
iteration 12: loss: 66.929863, loss_kl: 76.273361, loss_recon: 0.651527, loss_pred: 1.014475
iteration 13: loss: 66.733688, loss_kl: 64.996887, loss_recon: 0.647386, loss_pred: 1.345082
