/work/sheidaei/conda/envs/mytorch/lib/python3.9/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343997789/work/aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Namespace(dataset='Degradation', img_size=[160, 160, 160], vit_patches_size=[2, 2, 2], net_path='../model/TVD_Degradation[160, 160, 160]/TVD_pretrained_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs16_lr0.01_seed1234/epoch_0.pth', vit_name='Conv-ViT-B_16', pretrained_net_path='../model/TVD_Degradation[64, 64, 64]/TVD_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs48_lr0.01_seed1234/epoch_3.pth', is_encoder_pretrained=False, deterministic=1, max_epochs=4, batch_size=16, base_lr=0.01, seed=1234, is_savenii=False, test_save_dir='../predictions', gpu=4, batch_size_test=16, world_size=-1, rank=-1, dist_url='env://', dist_backend='nccl', local_rank=-1, index=None, num_classes=2, volume_path='/work/sheidaei/mhashemi/data/deg', Dataset=<class 'datasets.dataset_3D.Degradation_dataset'>, list_dir='./lists/lists_Degradation', z_spacing=1, exp='TVD_Degradation[160, 160, 160]', distributed=False)
TVD_pretrained_Conv-ViT-B_16_vitpatch[2, 2, 2]_epo4_bs16_lr0.01_seed1234
207 test iterations per epoch
0it [00:00, ?it/s]name  123982 time 0.083333 dice_class1 0.959782 hd95_class1 1.000000
name  123982 time 0.111111 dice_class1 0.962812 hd95_class1 1.000000
name  123982 time 0.138889 dice_class1 0.965476 hd95_class1 1.000000
name  123982 time 0.166667 dice_class1 0.967514 hd95_class1 1.000000
name  123982 time 0.194444 dice_class1 0.968944 hd95_class1 1.000000
name  123982 time 0.222222 dice_class1 0.969894 hd95_class1 1.000000
name  123982 time 0.250000 dice_class1 0.971068 hd95_class1 1.000000
name  123982 time 0.277778 dice_class1 0.971974 hd95_class1 1.000000
name  123982 time 0.305556 dice_class1 0.973095 hd95_class1 1.000000
name  123982 time 0.333333 dice_class1 0.975388 hd95_class1 1.000000
name  123982 time 0.361111 dice_class1 0.976353 hd95_class1 1.000000
name  123982 time 0.388889 dice_class1 0.977707 hd95_class1 1.000000
name  123982 time 0.416667 dice_class1 0.978993 hd95_class1 1.000000
name  123982 time 0.444444 dice_class1 0.979370 hd95_class1 1.000000
name  123982 time 0.472222 dice_class1 0.981197 hd95_class1 1.000000
name  123982 time 0.500000 dice_class1 0.981346 hd95_class1 1.000000
1it [01:19, 79.31s/it]name  123982 time 0.527778 dice_class1 0.982939 hd95_class1 1.000000
name  123982 time 0.555556 dice_class1 0.983946 hd95_class1 1.000000
name  123982 time 0.583333 dice_class1 0.984246 hd95_class1 1.000000
name  123982 time 0.611111 dice_class1 0.985300 hd95_class1 1.000000
name  123982 time 0.638889 dice_class1 0.985950 hd95_class1 1.000000
name  123982 time 0.666667 dice_class1 0.986435 hd95_class1 1.000000
name  123982 time 0.694444 dice_class1 0.986994 hd95_class1 0.000000
name  123982 time 0.722222 dice_class1 0.987538 hd95_class1 0.000000
name  123982 time 0.750000 dice_class1 0.988187 hd95_class1 0.000000
name  123982 time 0.777778 dice_class1 0.988871 hd95_class1 0.000000
name  123982 time 0.805556 dice_class1 0.989262 hd95_class1 0.000000
name  123982 time 0.833333 dice_class1 0.989448 hd95_class1 0.000000
name  123982 time 0.861111 dice_class1 0.989627 hd95_class1 0.000000
name  123982 time 0.888889 dice_class1 0.990515 hd95_class1 0.000000
name  123982 time 0.916667 dice_class1 0.991275 hd95_class1 0.000000
name  123982 time 0.944444 dice_class1 0.991671 hd95_class1 0.000000
2it [01:38, 44.05s/it]name  123982 time 0.972222 dice_class1 0.991855 hd95_class1 0.000000
name  025980 time 0.083333 dice_class1 0.895864 hd95_class1 1.414214
name  025980 time 0.111111 dice_class1 0.927400 hd95_class1 1.000000
name  025980 time 0.138889 dice_class1 0.935795 hd95_class1 1.000000
name  025980 time 0.166667 dice_class1 0.945406 hd95_class1 1.000000
name  025980 time 0.194444 dice_class1 0.952063 hd95_class1 1.000000
name  025980 time 0.222222 dice_class1 0.955135 hd95_class1 1.000000
name  025980 time 0.250000 dice_class1 0.954872 hd95_class1 1.000000
name  025980 time 0.277778 dice_class1 0.954327 hd95_class1 1.000000
name  025980 time 0.305556 dice_class1 0.955097 hd95_class1 1.000000
name  025980 time 0.333333 dice_class1 0.959258 hd95_class1 1.000000
name  025980 time 0.361111 dice_class1 0.960955 hd95_class1 1.000000
name  025980 time 0.388889 dice_class1 0.963507 hd95_class1 1.000000
name  025980 time 0.416667 dice_class1 0.964056 hd95_class1 1.000000
name  025980 time 0.444444 dice_class1 0.966521 hd95_class1 1.000000
name  025980 time 0.472222 dice_class1 0.965333 hd95_class1 1.000000
3it [01:58, 32.99s/it]name  025980 time 0.500000 dice_class1 0.965710 hd95_class1 1.000000
name  025980 time 0.527778 dice_class1 0.966390 hd95_class1 1.000000
name  025980 time 0.555556 dice_class1 0.965624 hd95_class1 1.000000
name  025980 time 0.583333 dice_class1 0.963019 hd95_class1 1.000000
name  025980 time 0.611111 dice_class1 0.966510 hd95_class1 1.000000
name  025980 time 0.638889 dice_class1 0.966457 hd95_class1 1.000000
name  025980 time 0.666667 dice_class1 0.965806 hd95_class1 1.000000
name  025980 time 0.694444 dice_class1 0.969239 hd95_class1 0.000000
name  025980 time 0.722222 dice_class1 0.968023 hd95_class1 1.000000
name  025980 time 0.750000 dice_class1 0.969835 hd95_class1 0.000000
name  025980 time 0.777778 dice_class1 0.969702 hd95_class1 0.000000
name  025980 time 0.805556 dice_class1 0.969800 hd95_class1 0.000000
name  025980 time 0.833333 dice_class1 0.968770 hd95_class1 0.000000
name  025980 time 0.861111 dice_class1 0.971000 hd95_class1 0.000000
name  025980 time 0.888889 dice_class1 0.970099 hd95_class1 0.000000
name  025980 time 0.916667 dice_class1 0.970591 hd95_class1 0.000000
4it [02:17, 27.61s/it]name  025980 time 0.944444 dice_class1 0.969808 hd95_class1 0.000000
name  025980 time 0.972222 dice_class1 0.967581 hd95_class1 0.000000
name  134001 time 0.083333 dice_class1 0.950013 hd95_class1 1.000000
name  134001 time 0.111111 dice_class1 0.957144 hd95_class1 1.000000
name  134001 time 0.138889 dice_class1 0.960321 hd95_class1 1.000000
name  134001 time 0.166667 dice_class1 0.961991 hd95_class1 1.000000
name  134001 time 0.194444 dice_class1 0.963703 hd95_class1 1.000000
name  134001 time 0.222222 dice_class1 0.963155 hd95_class1 1.000000
name  134001 time 0.250000 dice_class1 0.964502 hd95_class1 1.000000
name  134001 time 0.277778 dice_class1 0.965932 hd95_class1 1.000000
name  134001 time 0.305556 dice_class1 0.966414 hd95_class1 1.000000
name  134001 time 0.333333 dice_class1 0.968787 hd95_class1 1.000000
name  134001 time 0.361111 dice_class1 0.970148 hd95_class1 1.000000
name  134001 time 0.388889 dice_class1 0.971449 hd95_class1 1.000000
name  134001 time 0.416667 dice_class1 0.972526 hd95_class1 1.000000
name  134001 time 0.444444 dice_class1 0.972857 hd95_class1 1.000000
5it [02:37, 24.67s/it]name  134001 time 0.472222 dice_class1 0.974696 hd95_class1 1.000000
name  134001 time 0.500000 dice_class1 0.974421 hd95_class1 1.000000
name  134001 time 0.527778 dice_class1 0.975815 hd95_class1 1.000000
name  134001 time 0.555556 dice_class1 0.976487 hd95_class1 1.000000
name  134001 time 0.583333 dice_class1 0.976509 hd95_class1 1.000000
name  134001 time 0.611111 dice_class1 0.977989 hd95_class1 1.000000
name  134001 time 0.638889 dice_class1 0.979012 hd95_class1 1.000000
name  134001 time 0.666667 dice_class1 0.979392 hd95_class1 0.000000
name  134001 time 0.694444 dice_class1 0.980277 hd95_class1 0.000000
name  134001 time 0.722222 dice_class1 0.981086 hd95_class1 0.000000
name  134001 time 0.750000 dice_class1 0.981724 hd95_class1 0.000000
name  134001 time 0.777778 dice_class1 0.982559 hd95_class1 0.000000
name  134001 time 0.805556 dice_class1 0.982654 hd95_class1 0.000000
name  134001 time 0.833333 dice_class1 0.982640 hd95_class1 0.000000
name  134001 time 0.861111 dice_class1 0.982784 hd95_class1 0.000000
name  134001 time 0.888889 dice_class1 0.984072 hd95_class1 0.000000
6it [02:56, 22.86s/it]name  134001 time 0.916667 dice_class1 0.984907 hd95_class1 0.000000
name  134001 time 0.944444 dice_class1 0.985182 hd95_class1 0.000000
name  134001 time 0.972222 dice_class1 0.985353 hd95_class1 0.000000
name  104304 time 0.083333 dice_class1 0.934839 hd95_class1 1.000000
name  104304 time 0.111111 dice_class1 0.946400 hd95_class1 1.000000
name  104304 time 0.138889 dice_class1 0.950116 hd95_class1 1.000000
name  104304 time 0.166667 dice_class1 0.952564 hd95_class1 1.000000
name  104304 time 0.194444 dice_class1 0.954620 hd95_class1 1.000000
name  104304 time 0.222222 dice_class1 0.952985 hd95_class1 1.000000
name  104304 time 0.250000 dice_class1 0.955394 hd95_class1 1.000000
name  104304 time 0.277778 dice_class1 0.957659 hd95_class1 1.000000
name  104304 time 0.305556 dice_class1 0.956839 hd95_class1 1.000000
name  104304 time 0.333333 dice_class1 0.959935 hd95_class1 1.000000
name  104304 time 0.361111 dice_class1 0.961932 hd95_class1 1.000000
name  104304 time 0.388889 dice_class1 0.962287 hd95_class1 1.000000
name  104304 time 0.416667 dice_class1 0.964958 hd95_class1 1.000000
7it [03:16, 21.79s/it]name  104304 time 0.444444 dice_class1 0.964812 hd95_class1 1.000000
name  104304 time 0.472222 dice_class1 0.967368 hd95_class1 1.000000
name  104304 time 0.500000 dice_class1 0.966854 hd95_class1 1.000000
name  104304 time 0.527778 dice_class1 0.967459 hd95_class1 1.000000
name  104304 time 0.555556 dice_class1 0.969430 hd95_class1 0.000000
name  104304 time 0.583333 dice_class1 0.969244 hd95_class1 0.000000
name  104304 time 0.611111 dice_class1 0.970690 hd95_class1 0.000000
name  104304 time 0.638889 dice_class1 0.971326 hd95_class1 0.000000
name  104304 time 0.666667 dice_class1 0.971439 hd95_class1 0.000000
name  104304 time 0.694444 dice_class1 0.972235 hd95_class1 0.000000
name  104304 time 0.722222 dice_class1 0.972911 hd95_class1 0.000000
name  104304 time 0.750000 dice_class1 0.973082 hd95_class1 0.000000
name  104304 time 0.777778 dice_class1 0.974061 hd95_class1 0.000000
name  104304 time 0.805556 dice_class1 0.974955 hd95_class1 0.000000
name  104304 time 0.833333 dice_class1 0.974566 hd95_class1 0.000000
name  104304 time 0.861111 dice_class1 0.974097 hd95_class1 0.000000
